Customer	ESP	Sex	Age	Account	Revenue	Activated
0	zoho	male	40	4	7.25	No
1	gmail	female	56	4	71.2833	Yes
1	zoho	female	44	2	7.925	No
1	gmail	female	53	4	53.1	No
0	zoho	male	53	2	8.05	No
0	zoho	male	18	2	8.4583	
0	gmail	male	72	2	51.8625	No
0	zoho	male	20	1	21.075	No
1	zoho	female	45	2	11.1333	No
1	yahoo	female	32	4	30.0708	Yes
1	zoho	female	22	4	16.7	No
1	gmail	female	76	2	26.55	No
0	zoho	male	38	2	8.05	No
0	zoho	male	57	4	31.275	No
0	zoho	female	32	2	7.8542	No
1	yahoo	female	73	2	16	No
0	zoho	male	20	4	29.125	
1	yahoo	male	18	2	13	No
0	zoho	female	49	4	18	No
1	zoho	female	18	2	7.225	Yes
0	yahoo	male	53	2	26	No
1	yahoo	male	52	2	13	No
1	zoho	female	33	2	8.0292	
1	gmail	male	46	2	35.5	No
0	zoho	female	26	1	21.075	No
1	zoho	female	56	4	31.3875	No
0	zoho	male	18	2	7.225	Yes
0	gmail	male	37	1	263	No
1	zoho	female	18	2	7.8792	
0	zoho	male	18	2	7.8958	No
0	gmail	male	58	2	27.7208	Yes
1	gmail	female	18	4	146.5208	Yes
1	zoho	female	18	2	7.75	
0	yahoo	male	84	2	10.5	No
0	gmail	male	46	4	82.1708	Yes
0	gmail	male	60	4	52	No
1	zoho	male	18	2	7.2292	Yes
0	zoho	male	39	2	8.05	No
0	zoho	female	36	3	18	No
1	zoho	female	32	4	11.2417	Yes
0	zoho	female	58	4	9.475	No
0	yahoo	female	45	4	21	No
0	zoho	male	18	2	7.8958	Yes
1	yahoo	female	21	4	41.5792	Yes
1	zoho	female	37	2	7.8792	
0	zoho	male	18	2	8.05	No
0	zoho	male	18	4	15.5	
1	zoho	female	18	2	7.75	
0	zoho	male	18	3	21.6792	Yes
0	zoho	female	36	4	17.8	No
0	zoho	male	25	4	39.6875	No
0	zoho	male	39	2	7.8	No
1	gmail	female	67	4	76.7292	Yes
1	yahoo	female	47	4	26	No
0	gmail	male	83	2	61.9792	Yes
1	gmail	male	18	2	35.5	No
1	yahoo	female	39	2	10.5	No
0	zoho	male		2	7.2292	Yes
1	yahoo	female	23	4	27.75	No
0	zoho	male	29	0	46.9	No
0	zoho	male	40	2	7.2292	Yes
1	gmail	female	56	2	80	
0	gmail	male	63	4	83.475	No
0	zoho	male	22	1	27.9	No
0	gmail	male	18	2	27.7208	Yes
1	zoho	male	18	4	15.2458	Yes
1	yahoo	female	47	2	10.5	No
0	zoho	male	37	2	8.1583	No
1	zoho	female	35	4	7.925	No
0	zoho	male	44	3	8.6625	No
0	yahoo	male	50	2	10.5	No
0	zoho	female	34	0	46.9	No
0	yahoo	male	39	2	73.5	No
0	zoho	male	44	4	14.4542	Yes
1	zoho	male	50	2	56.4958	No
0	zoho	male	43	2	7.65	No
0	zoho	male	18	2	7.8958	No
0	zoho	male	18	2	8.05	No
1	yahoo	male		2	29	No
1	zoho	female	48	2	12.475	No
0	zoho	male	40	2	9	No
1	zoho	male	47	2	9.5	No
1	zoho	female	18	2	7.7875	
0	gmail	male	46	2	47.1	No
1	yahoo	female	35	2	10.5	No
1	zoho	female	51	1	15.85	No
